student,sex,english,statsofar,ageguess,smoke,h.left,h.right,handedness,statfuture,haircut,lecture,alone,height.in,hand.span,color,lastsleep,pulse,year,lovetrueage
201601,f,y,7,45,1,0,10,1,7,15,4,4,63,21,blue,6,64,2016,49.5
201602,m,y,6,53,1,0,18,1,7,12,2,4,69,19.2,green,8,88,2016,49.5
201603,f,y,3,60,1,0,18,1,5,30,3,4,68,18,blue,6.5,80,2016,49.5
201604,f,n,4,37,1,5,7,0.166666667,7,NA,3,2,63,18.5,grey,8,60,2016,49.5
201605,f,n,7,35,1,0,10,1,7,20,2,1,61,17,green,7,84,2016,49.5
201606,m,n,7,43,3,11,10,-0.047619048,7,15,3,3,70,22,blue,6,74,2016,49.5
201607,m,n,5,45,3,20,11,-0.290322581,7,20,3,2,73,20,red,9,84,2016,49.5
201608,f,y,6,46,1,6,13,0.368421053,7,25,3,3,66,18,red,6.5,80,2016,49.5
201609,m,y,6,50,1,2,11,0.692307692,6,0,3,4,66,19,blue,7,50,2016,49.5
201610,f,y,5,50,1,3,17,0.7,6,25,3,3,66,19,purple,4,60,2016,49.5
201611,f,y,7,NA,1,5,9,0.285714286,7,40,2,3,63,13.5,blue,6,66,2016,49.5
201612,f,y,4,60,1,3,7,0.4,6,70,3,3,64,18,white,7.5,72,2016,49.5
201613,f,y,5,42,1,1,14,0.866666667,7,0,3,5,68,17,dark blue,8.5,78,2016,49.5
201614,f,y,6,39,1,1,13,0.857142857,7,15,4,3,64,16.75,teal,9.5,84,2016,49.5
201615,m,y,5,48,2,4,16,0.6,7,30,2,3,71,21.5,blue,7.5,94,2016,49.5
201616,f,y,4,47,1,4,13,0.529411765,7,0,3,2,71,19,red,6.67,90,2016,49.5
201617,f,y,3,45,1,0,15,1,5,20,3,3,67,20,purple,8,74,2016,49.5
201618,f,y,3,42,1,4,13,0.529411765,7,10,3,4,61,20,purple,6,72,2016,49.5
201619,m,y,4,49,1,4,10,0.428571429,5,18,3,4,74,20.3,blue,NA,58,2016,49.5
201620,f,y,2,52,1,4,9,0.384615385,5,32,4,3,63,18.5,blue,6,92,2016,49.5
201621,m,y,5,43,1,2,17,0.789473684,6,20,3,3,69,23,blue,7,65,2016,49.5
201622,m,y,3,50,1,1,19,0.9,6,20,3,3,71,23,blue,6,56,2016,49.5
201623,m,y,5,45,1,1,15,0.875,6,20,2,2,75,22,blue,7,50,2016,49.5
201624,m,y,3,53,1,2,18,0.8,6,20,4,2,64,23,black,8,76,2016,49.5
201625,f,y,5,NA,1,4,13,0.529411765,7,45,4,4,70,19.5,blue,7,56,2016,49.5
201626,f,y,5,46,1,8,7,-0.066666667,7,60,3,4,63,19.2,blue,8,106,2016,49.5
201627,m,n,6,40,1,1,16,0.882352941,7,15,3,4,72,9.5,yellow,8,70,2016,49.5
201628,m,n,5,43,1,0,20,1,6,17,4,2,66,10,blue,7.5,68,2016,49.5
201629,m,y,6,47,1,0,10,1,6,15,3,2,66,9.5,blue,8,60,2016,49.5
201630,f,n,3,45,1,0,20,1,6,60,3,3,66,18,aqua,7,82,2016,49.5
201631,f,y,5,48,1,2,12,0.714285714,6,50,4,4,64,20,light blue,7.5,72,2016,49.5
201632,m,y,5,47,1,0,11,1,7,0,3,4,66,20,purple,8,90,2016,49.5
201633,m,n,4,41,1,0,20,1,4,15,4,1,68,25,blue,9,54,2016,49.5
201634,f,n,7,45,1,0,10,1,7,15,4,3,65,20,black,7,100,2016,49.5
201635,m,y,3,52,1,3,17,0.7,6,8,3,4,66,22,blue,7.5,56,2016,49.5
201636,f,y,5,24,1,1,19,0.9,6,120,3,1,69,20,blue,8,65,2016,49.5
201637,f,y,6,49,1,2,10,0.666666667,7,20,4,3,62,20,white,6,60,2016,49.5
201638,f,y,4,42,1,7,8,0.066666667,7,40,1,2,60,21,none,7.5,60,2016,49.5
201639,m,y,7,70,1,0,10,1,7,35,3,4,67,19,blue,5,64,2016,49.5
201640,f,y,5,53,1,0,20,1,6,32,2,2,62,18.5,green,6,70,2016,49.5
201641,f,y,5,54,1,0,20,1,6,40,2,2,62,18.5,blue,6.5,80,2016,49.5
201642,m,n,6,48,1,0,10,1,5,20,3,3,71,25,green,6,64,2016,49.5
201643,f,n,5,40,1,0,10,1,5,15,3,4,64,18.5,blue,8,78,2016,49.5
201644,m,y,5,47,1,2,18,0.8,7,0,2,3,71,18.5,green,7,68,2016,49.5
201645,f,y,4,43,1,1,19,0.9,5,40,3,4,63.5,17,blue,7,74,2016,49.5
201646,m,y,5,46,2,2,13,0.733333333,7,9,3,2,74,23,blue,6,90,2016,49.5
201647,m,y,6,38,1,3,14,0.647058824,7,0,2,4,71,22.5,blue,9,74,2016,49.5
201648,f,y,5,48,2,7,3,-0.4,7,60,3,5,68,21,blue,7.5,90,2016,49.5
201649,m,y,5,NA,1,8,4,-0.333333333,7,12,1,2,70,21.5,grey,5,66,2016,49.5
201650,f,y,5,50,2,0,10,1,7,0,3,4,65,18.5,purple,5,70,2016,49.5
201651,m,y,5,35,1,0,14,1,7,5,1,3,72,21.5,navy,7,55,2016,49.5
201652,m,y,5,50,1,0,10,1,7,0,5,2,69,NA,blue,7.5,65,2016,49.5
201653,m,y,4,45,1,2,18,0.8,7,0,3,2,67,24,brown,5,60,2016,49.5
201654,f,y,6,48,2,8,2,-0.6,6,25,1,3,68,21,royal blue,8.5,64,2016,49.5
201655,f,y,5,44,1,10,1,-0.818181818,6,75,3,4,63,17.5,violet,8.5,56,2016,49.5
201656,m,y,4,55,1,2,10,0.666666667,7,20,4,4,73,22,navy,6,90,2016,49.5
201657,m,y,5,48,1,0,20,1,6,10,3,3,69,21.5,black,7,68,2016,49.5
201658,m,y,6,52,2,1,12,0.846153846,6,0,2,3,66,19.5,green,7,63,2016,49.5
201659,m,y,7,45,1,4,6,0.2,7,26,1,1,67,21,blue,7,78,2016,49.5
201660,m,y,6,38,1,5,14,0.473684211,7,20,2,4,73,22.5,red,6,60,2016,49.5
